,ward,borough,%_english_is_first_language_of_no_one_in_household_2011,median_house_price_2014,median_household_income_estimate_2012_13,male_life_expectancy_2009_13,female_life_expectancy_2009_13,%_area_that_is_open_space_2014,%_travel_by_bicycle_to_work_2011,turnout_at_mayoral_election_2012,crime_rate_2014_15,%_bame_2011,%_all_older_people_aged_65_2015,%_homes_with_good_access_to_nature,%_homes_with_deficiency_in_access_to_nature,female_life_expectancy_normalised,male_life_expectancy_normalised,median_household_income_estimate_2012_13_log
59,E05000084,Bexley,7.6,190000.0,32100.0,78.3,81.7,70.5,1.3,27.7,54.9,52.7,7.4,100.0,0.0,0.9703678889024248,0.9814966964843526,10.376611309118108
60,E05000085,Brent,32.3,249950.0,31250.0,80.8,84.3,17.7,1.7,37.0,69.1,81.8,10.1,100.0,0.0,1.0012486295529304,1.0128343943286806,10.349774655164548
61,E05000086,Brent,22.9,333000.0,34630.0,77.9,80.8,31.6,0.5,36.0,64.7,69.7,12.4,100.0,0.0,0.9596784017541727,0.9764826648292602,10.452475637396468
62,E05000087,Brent,16.2,465000.0,40020.0,82.4,85.7,9.7,4.8,33.1,70.8,43.8,12.6,75.0,25.0,1.0178767206724333,1.0328905209490504,10.597134608137724
63,E05000088,Brent,22.0,306000.0,30990.0,82.3,88.7,26.6,1.5,31.9,67.3,64.3,12.2,100.0,0.0,1.0535083444999398,1.0316370130352772,10.341419850781794
64,E05000089,Brent,23.8,495000.0,33470.0,83.9,85.5,11.6,3.2,35.4,88.2,55.9,10.7,100.0,0.0,1.0155012790839328,1.0516931396556473,10.418404794205372
65,E05000090,Brent,21.9,263750.0,35590.0,80.7,83.9,39.3,1.1,32.2,58.4,62.7,12.7,95.0,5.0,0.9964977463759295,1.0115808864149074,10.479819978504239
66,E05000091,Brent,23.0,305500.0,27030.0,78.1,82.9,8.9,3.5,30.4,100.3,67.0,9.0,100.0,0.0,0.9846205384334273,0.9789896806568062,10.204702639270494
67,E05000092,Brent,21.9,500000.0,34640.0,79.7,90.0,6.9,5.4,31.8,86.6,52.3,10.2,100.0,0.0,1.0689487148251926,0.9990458072771763,10.45276436267637
68,E05000093,Brent,19.6,440000.0,42190.0,83.3,91.6,17.0,0.7,34.9,51.3,70.0,18.8,94.0,6.0,1.0879522475331957,1.0441720921730084,10.649938505118385
69,E05000094,Brent,18.4,444631.5,34270.0,80.1,86.0,11.1,5.8,32.8,79.3,50.0,9.4,87.0,13.0,1.0214398830551839,1.0040598389322686,10.442025614868655
70,E05000095,Brent,21.3,450000.0,36830.0,78.7,84.5,9.6,3.5,33.6,71.8,43.4,9.4,34.0,66.0,1.0036240711414308,0.9865107281394451,10.51406800943911
71,E05000096,Brent,19.8,470000.0,41100.0,80.7,84.9,32.0,1.0,29.7,64.7,68.8,13.7,81.0,19.0,1.0083749543184317,1.0115808864149074,10.623763400484325
72,E05000097,Brent,22.8,350000.0,35960.0,80.0,85.4,19.2,1.1,31.3,57.9,70.0,13.0,33.0,67.0,1.0143135582896827,1.0028063310184956,10.490162488585556
73,E05000098,Brent,14.4,677500.0,42880.0,80.0,89.5,19.0,7.4,35.5,72.9,37.0,9.9,100.0,0.0,1.0630101108539414,1.0028063310184956,10.666160795744684
74,E05000099,Brent,24.1,366000.0,35110.0,81.7,83.1,13.7,0.5,32.6,65.0,72.9,12.4,48.0,52.0,0.9869959800219277,1.0241159655526386,10.466241269162477
75,E05000100,Brent,17.2,249950.0,25800.0,76.2,82.3,16.2,2.0,31.3,116.0,76.5,9.0,100.0,0.0,0.977494213667926,0.9551730302951171,10.158129770909708
76,E05000101,Brent,28.4,249950.0,33530.0,78.7,84.1,34.6,1.1,32.4,51.5,77.3,11.1,65.0,35.0,0.9988731879644298,0.9865107281394451,10.420195839460273
77,E05000102,Brent,26.6,322500.0,33130.0,78.1,84.2,19.8,1.2,30.2,82.8,76.3,9.7,53.0,47.0,1.00006090875868,0.9789896806568062,10.408194495293941
